Believe	Adam and Eve
Knickers	Alan Whickers
Bitter	Apple Fritter
Stairs	Apples and Pears
Arse	Aris
Gravy	Army and Navy
Lodger	Artful Dodger
Tenner	Ayrton Senna
Legs	Bacon and Eggs
Row	Barn Owl
Hair	Barnet Fair
Face	Boat Race
Boozer 	Battle Cruiser
Arse	Bottle and Glass
Hands	Brass bands
Money	Bread and Honey
Beers	Britney Spears
Dead	Brown Bread
Laugh	Bubble Bath
Look	Butcher's Hook
Face	Chevy Chase
Mate	China Plate
Later	Christian Slater
Knackered 	Cream Crackered
Sun	Currant Bun
Boots	Daisy Roots
Car	Danny Marr
Shower	David Gower
Word	Dicky Bird
Phone	Dog and Bone
Years	Donkey's Ears
Face	Drum'n'Bass
Beers	Elephant's Ears
Road	Frog & Toad
Pinch	Half Inch
Easy	Ham'n'cheesy
Starving 	Hank Marvin
Car	Jam Jar
Piddle 	Jimmy Riddle
Piano	Joanna
Arse	Khyber Pass
Fiver	Lady Godiva
Starving	Lee Marvin
Easy	Lemon Squeezy
Flares	Lionel Blairs
Head	Loaf of Bread
Eyes	Mince Pies
Windy	Mork and Mindy
Cupboard	Mother Hubbard
Coat	Nanny Goat
Stella 	Nelson Mandela
Pub	Nuclear Sub
Fag	Oily Rag
Stink	Pen and Ink
Wrong	Pete Tong
Street	Plate of Meat
Feet	Plates of Meat
Crap	Pony and Trap
Lies	Pork Pies (Porkie Pies)
Bum	Queen Mum
Talk	Rabbit & Pork
Fart	Raspberry Tart
Turd	Richard the Third
Tea	Rosie Lee
Trousers	Round The Houses
Curry	Ruby Murray
Kid	Saucepan Lid
Yank	Septic Tank
Pocket	Sky Rocket
Bent	Stoke-on-Trent
police	Sweeney Todd
Wig	Syrup of Figs
Thief	Tea Leaf
Hat	Tit for tat
Sick	Tom and Dick
Jewellery	Tom Foolery
Wife	Trouble and Strife
State	Two and Eight
Sick	Uncle Dick
Skins	Vera Lynns
Coat	Weasel & Stoat
Suit	Whistle and Flute
